source,region,name,rating_raw,review_count_raw,location,price_range,categories,snippet
Yelp,Dublin,Bread 41,4.7,(81 reviews),South Inner City,€€,"“Wow. If you want some butter ladened richfreshly bakedpastries, this is your place!”more, Cafes, Bakeries","“Wow. If you want some butter ladened rich freshly baked pastries, this is your place!” more"
Yelp,Dublin,The Bakery,4.2,(26 reviews),Temple Bar,€,"“It is an entirely different species of food altogether. The bread isfreshly bakedevery morning and...”more, Bakeries, Coffee & Tea Shops",“It is an entirely different species of food altogether. The bread is freshly baked every morning and...” more
Yelp,Dublin,Queen of Tarts,4.4,(543 reviews),South Inner City,€€,"“Best place for anyone who likes a bit of cake or chocolate!Delicious pastries, great coffee and...”more, Desserts, Tea Rooms, Breakfast & Brunch","“Best place for anyone who likes a bit of cake or chocolate! Delicious pastries , great coffee and...” more"
Yelp,Dublin,The Rolling Donut,4.3,(78 reviews),North Inner City,€,"“I can think of bettersweet treats. Having said that, they do a selection of vegan donuts, and...”more, Donuts, Bakeries","“I can think of better sweet treats . Having said that, they do a selection of vegan donuts, and...” more"
Yelp,Dublin,The Bakehouse,4.3,(285 reviews),North Inner City,€,"“Thefreshly bakedbread was amazing, black pudding was delicious and well everything was just...”more, Bakeries, Coffee & Tea Shops, Breakfast & Brunch","“The freshly baked bread was amazing, black pudding was delicious and well everything was just...” more"
Yelp,Dublin,Krüst Bakery,3.9,(47 reviews),South Inner City,€,"“Great coffee and absolutelydelicious pastries, if wholeheartedly recommend a cronut.”more, Coffee & Tea Shops, Bakeries, Sandwiches","“Great coffee and absolutely delicious pastries , if wholeheartedly recommend a cronut.” more"
Yelp,Dublin,Queen of Tarts,4.4,(287 reviews),Temple Bar,€€,"“Amazing breakfast,delicious pastries, and great staff! I had the hearty breakfast and added beans.”more, Desserts, Coffee & Tea Shops","“Amazing breakfast, delicious pastries , and great staff! I had the hearty breakfast and added beans.” more"
Yelp,Dublin,Hansel and Gretel Bakery & Patisserie,4.0,(20 reviews),South Inner City,€€,"“Quaint little shop! No seating, butdelicious pastries& breads! Very nice, clean, tiny shop!”more, Bakeries, Cake Shop & Patisserie Shops","“Quaint little shop! No seating, but delicious pastries & breads! Very nice, clean, tiny shop!” more"
Yelp,Dublin,The Bretzel Bakery,4.4,(37 reviews),Harcourt,€€,"“I love coming here at the weekend to buy fresh bread rolls andsweet treats.”more, Bakeries, Breakfast & Brunch",“I love coming here at the weekend to buy fresh bread rolls and sweet treats .” more
Yelp,Dublin,Panem,4.6,(30 reviews),North Inner City,€,"“her customers the best loose leaf teas as well as the best coffee &freshly bakedfood.”more, Bakeries, Coffee & Tea Shops",“her customers the best loose leaf teas as well as the best coffee & freshly baked food.” more
Yelp,Dublin,Ann's Bakery,3.3,(34 reviews),North Inner City,€,"“The bakery at the front is still quite similar - yummy cakes like éclairs and breadsfreshly baked.”more, Bakeries, Irish",“The bakery at the front is still quite similar - yummy cakes like éclairs and breads freshly baked .” more
Yelp,Dublin,Mannings Bakery & Café,3.7,(46 reviews),The Liberties,€,"“Only wish I had remembered to take photos of ourdelicious pastriesso that we could upload them...”more, Bakeries, Desserts, Cupcakes",“Only wish I had remembered to take photos of our delicious pastries so that we could upload them...” more
Yelp,Dublin,Lolly and Cooks,3.9,(27 reviews),South Inner City,€,"“Their cupcakes arefreshly bakedin store, €2.50 each or €12 for six. They do soups and cakes too...”more, Bakeries","“Their cupcakes are freshly baked in store, €2.50 each or €12 for six. They do soups and cakes too...” more"
Yelp,Dublin,The Natural Bakery,3.2,(5 reviews),South Inner City,€,"“It is one of the better chains for bread andbaked goods. It is also great for lunch, since they...”more, Bakeries","“It is one of the better chains for bread and baked goods . It is also great for lunch, since they...” more"
Yelp,Dublin,Decobake,3.6,(15 reviews),North Inner City,€€,"“Possibly my new favourite store for caking equipment. Kitchen Compliments were out of a couple of staples, and I kept buying the wrong size cakeboard,…”more, Bakeries","“Possibly my new favourite store for caking equipment. Kitchen Compliments were out of a couple of staples, and I kept buying the wrong size cakeboard,…” more"
Yelp,Dublin,Dolce Sicily,4.4,(81 reviews),South Inner City,€€,"“I absolutely loved thisbakery! I see where Yelp lists the location as now closed but I hope that...”more, Italian, Cafes",“I absolutely loved this bakery ! I see where Yelp lists the location as now closed but I hope that...” more
Yelp,Dublin,Shoe Lane Coffee,4.8,(38 reviews),South Inner City,€,"“This cafe is fantastic. Delicious coffee andbaked goods(and perfect presentation to match).”more, Coffee & Tea Shops",“This cafe is fantastic. Delicious coffee and baked goods (and perfect presentation to match).” more
Yelp,Dublin,Dolce Sicily,4.4,(9 reviews),Temple Bar,€€,"“Staff is friendly,baked goodslook unreal, and they have healthy lunch options like salads, soups...”more, Bakeries, Coffee & Tea Shops, Italian","“Staff is friendly, baked goods look unreal, and they have healthy lunch options like salads, soups...” more"
Yelp,Dublin,The Baking House,4.0,(1 review),East Wall,,"“I mean, now that I'm hooked on that apricot loaf I've got no choice but to follow them like a lost...”more, Bakeries","“I mean, now that I'm hooked on that apricot loaf I've got no choice but to follow them like a lost...” more"
Yelp,Dublin,Camerino,4.4,(26 reviews),North Inner City,€€,"“And I say this as a picky espresso drinker and asweet treatsenthusiast, so I wouldn't throw them...”more, Coffee & Tea Shops, Bakeries","“And I say this as a picky espresso drinker and a sweet treats enthusiast, so I wouldn't throw them...” more"
Yelp,Dublin,Offbeat Donut Co,4.5,(75 reviews),South Inner City,€,"“Excellent selection ofbaked goods, displayed in an utterly mouthwatering fashion.”more, Donuts, Takeaway & Fast Food, Bakeries","“Excellent selection of baked goods , displayed in an utterly mouthwatering fashion.” more"
Yelp,Dublin,The Wooden Whisk,4.1,(72 reviews),North Inner City,€,"“Cute little breakfast joint not too far from O'Connell street. Theirbaked goodswere out of this...”more, Cafes, Bakeries",“Cute little breakfast joint not too far from O'Connell street. Their baked goods were out of this...” more
Yelp,Dublin,Laduree,4.3,(6 reviews),South Inner City,,"“My favorite French pastry shop, especially for Macrons. This is one of their shops around the world and I love coming by each time I am here in Dublin…”more, Bakeries","“My favorite French pastry shop, especially for Macrons. This is one of their shops around the world and I love coming by each time I am here in Dublin…” more"
Yelp,Dublin,Accents Coffee & Tea Lounge,4.3,(135 reviews),South Inner City,€€,"“Great selection of teas and the coffee is excellent, too! Thebakeryhas a variety of yummy treats...”more, Coffee & Tea Shops","“Great selection of teas and the coffee is excellent, too! The bakery has a variety of yummy treats...” more"
Yelp,Dublin,The Butlers Pantry,4.7,(6 reviews),Irishtown,€€€,"“A one of a kindbakery! Always delicious and fresh. They have a variety of cheeses and homemade...”more, Bakeries",“A one of a kind bakery ! Always delicious and fresh. They have a variety of cheeses and homemade...” more
Yelp,Dublin,Keoghs Café,4.0,(123 reviews),South Inner City,€€,"“Awesome food, fast and friendly service. Great assortment ofbaked goods, along with a variety of...”more, Coffee & Tea Shops, Sandwiches","“Awesome food, fast and friendly service. Great assortment of baked goods , along with a variety of...” more"
Yelp,Dublin,Two Pups Coffee,4.6,(55 reviews),The Liberties,€,"“Great coffee and hot breakfast.Baked goodslook promising as well, although I didn't try.”more, Cafes","“Great coffee and hot breakfast. Baked goods look promising as well, although I didn't try.” more"
Yelp,Dublin,Il Valentino Bakery & Cafe,4.0,(75 reviews),Grand Canal Dock,€,"“Great little cafe.Delicious pastriesand perfect coffee. Our first stop on our Ireland Vacay and...”more, Bakeries, Cafes",“Great little cafe. Delicious pastries and perfect coffee. Our first stop on our Ireland Vacay and...” more
Yelp,Dublin,Eathos,4.6,(56 reviews),Baggot Street,€€,"“Food Unbelievably GREAT! From theirsweet treatswhich lure you in from the shop front to the great...”more, Bakeries, Coffee & Tea Shops, Desserts",“Food Unbelievably GREAT! From their sweet treats which lure you in from the shop front to the great...” more
Yelp,Dublin,Sheridan's Cheesemongers,4.6,(46 reviews),South Inner City,€€,"“This place brings me back to France where you go to the cheesemonger for cheese, thebakeryfor the...”more, Cheese Shops","“This place brings me back to France where you go to the cheesemonger for cheese, the bakery for the...” more"
Yelp,Dublin,Catherine's Bakery,4.0,(8 reviews),The Liberties,€,"“This is far from just abakery! Honestly one of the best breakfast in Dublin.”more, Bakeries",“This is far from just a bakery ! Honestly one of the best breakfast in Dublin.” more
Yelp,Dublin,Laduree Dublin,3.9,(42 reviews),South Inner City,€€,"“as one of the best macaron brands but I have had better macaron at small hole in the wallbakeries.”more, Coffee & Tea Shops, Cake Shop & Patisserie Shops, Macarons",“as one of the best macaron brands but I have had better macaron at small hole in the wall bakeries .” more
Yelp,Dublin,Bewley's,4.0,(20 reviews),South Inner City,€,"“The restaurant is very neat and well-decorated. My most favorite was to scan through thebakeryand...”more, Coffee & Tea Shops, Cafes",“The restaurant is very neat and well-decorated. My most favorite was to scan through the bakery and...” more
Yelp,Dublin,Le Petit Parisien,3.6,(57 reviews),South Inner City,€€,"“Are there any goodbakeriesaround grafton street left?”more, Coffee & Tea Shops, Bakeries",“Are there any good bakeries around grafton street left?” more
Yelp,Dublin,Bácús Bakery,5.0,(1 review),North Inner City,,"“Bakery is the perfect stop for a quick breakfast, some coffee/tea, or some deliciousbaked goods.”more, Cafes, Breakfast & Brunch, Bakeries","“Bakery is the perfect stop for a quick breakfast, some coffee/tea, or some delicious baked goods .” more"
Yelp,Dublin,The Orange Tree Bakery,4.2,(9 reviews),Rathmines,€,"“I just moved back Rathmines and I walked by this cute littlebakery. I was drawn to the shops great...”more, Bakeries",“I just moved back Rathmines and I walked by this cute little bakery . I was drawn to the shops great...” more
Yelp,Dublin,The Natural Bakery,3.8,(13 reviews),Rathgar,€,"“A little pricier than some otherbakeriesbut it was well worth the cost!”more, Bakeries",“A little pricier than some other bakeries but it was well worth the cost!” more
Yelp,Dublin,La Boulangerie,3.7,(3 reviews),South Inner City,€€,"“The quality of theirbaked goodsis high as you would expect from a French bakery.”more, Bakeries",“The quality of their baked goods is high as you would expect from a French bakery.” more
Yelp,Dublin,Fallon & Byrne,4.2,(262 reviews),South Inner City,€€€,"“Grocer, butchet, fishmonger,  wine cavern, restaurant,bakery, cafe. We love this place and yes it...”more, Delis, Wine Bars, Irish","“Grocer, butchet, fishmonger,  wine cavern, restaurant, bakery , cafe. We love this place and yes it...” more"
Yelp,Dublin,Brother Hubbard,4.4,(363 reviews),North Inner City,€€,"“Great service, OK orange juice,delicious pastries. Very nice contemporary interior and courtyard.”more, Middle Eastern, Breakfast & Brunch, Cafes","“Great service, OK orange juice, delicious pastries . Very nice contemporary interior and courtyard.” more"
Yelp,Dublin,Green Door Bakery,4.1,(14 reviews),Stoneybatter,€€,"“The drinks are relatively inexpensive, delicious and I recommend picking up abaked goodas well.”more, Bakeries","“The drinks are relatively inexpensive, delicious and I recommend picking up a baked good as well.” more"
Yelp,Dublin,The Kilkenny Café,4.1,(54 reviews),South Inner City,€,"“They have a wide variety to choose from including wonderfulbakery itemsand hot food.”more, Sandwiches, Coffee & Tea Shops",“They have a wide variety to choose from including wonderful bakery items and hot food.” more
Yelp,Dublin,The Hot Donut,4.6,(19 reviews),North Inner City,,"“Very peaceful and nice way to enjoy asweet treat! Will come here again when in the area!”more, Donuts, Coffee & Tea Shops",“Very peaceful and nice way to enjoy a sweet treat ! Will come here again when in the area!” more
Yelp,Dublin,Aungier Danger,4.1,(7 reviews),South Inner City,€,"“at the mo and there's only one place for me for a cream filledsweet treatsensation and that's here...”more, Donuts, Bakeries",“at the mo and there's only one place for me for a cream filled sweet treat sensation and that's here...” more
Yelp,Dublin,Temple Bar Food Market,4.5,(42 reviews),Temple Bar,€€,"“Great selection of baked goods,artisan bread, cheese and olives in particular.”more, Markets, Cheese Shops, Imported Food","“Great selection of baked goods, artisan bread , cheese and olives in particular.” more"
Yelp,Dublin,The Earl,3.8,(6 reviews),North Inner City,€€,"“The staff are very friendly and will recommend some of theirbaked goodsyou might want to try.”more, Coffee & Tea Shops, Bakeries",“The staff are very friendly and will recommend some of their baked goods you might want to try.” more
Yelp,Dublin,The Natural Bakery,4.0,(2 reviews),Ranelagh,€€,"“Hurray! The NaturalBakeryis opening in Ranelagh at the Triangle! If you read my review of the...”more, Bakeries",“Hurray! The Natural Bakery is opening in Ranelagh at the Triangle! If you read my review of the...” more
Yelp,Dublin,Avoca,4.3,(145 reviews),South Inner City,€€,"“The basement in Avoca do greatsweet treatssuch as rice krispie squares and good coffee.”more, Women's Clothing, Cafes",“The basement in Avoca do great sweet treats such as rice krispie squares and good coffee.” more
Yelp,Dublin,The Dublin Cookie Co.,4.1,(19 reviews),The Liberties,€,"“Thefreshly bakedcookies are a real treat and staff are always super lovely.”more, Cake Shop & Patisserie Shops, Coffee & Tea Shops",“The freshly baked cookies are a real treat and staff are always super lovely.” more
Yelp,Dublin,Bewley's Cafe,3.7,(219 reviews),South Inner City,€€,"“Highly recommended the pastries especially theirfreshly bakedcroissant.”more, Irish, Cafes",“Highly recommended the pastries especially their freshly baked croissant.” more
Yelp,Dublin,Revolution Bakery,until 17:00,,South Inner City,,"Coffee & Tea Shops, Donuts",
Yelp,Dublin,Pepperpot Cafe,4.1,(89 reviews),South Inner City,€€,"“The bread isfreshly bakedthere too. Very impressed.”more, Coffee & Tea Shops, Breakfast & Brunch, Gluten Free",“The bread is freshly baked there too. Very impressed.” more
Yelp,Dublin,The Cake Café,4.0,(87 reviews),Harcourt,€€,"“Freshly bakeddoorstop bread with a crunchy crust filled with the most gorgeous fillings.”more, Cafes, Breakfast & Brunch, Cooking Classes",“ Freshly baked doorstop bread with a crunchy crust filled with the most gorgeous fillings.” more
Yelp,Dublin,Johnnie Cupcakes,3.7,(3 reviews),South Inner City,€,"“Giovanni makes a lot of these cupcakes himself! He's the lovely 30 something Italian guy that mans the cupcake shop most days. Ladies eat your hearts…”more, Cupcakes",“Giovanni makes a lot of these cupcakes himself! He's the lovely 30 something Italian guy that mans the cupcake shop most days. Ladies eat your hearts…” more
Yelp,Dublin,The Joy of Cha,4.1,(55 reviews),Temple Bar,€€,"“Although they offer plenty of savorybaked goodswe opted for sweet.”more, Tea Rooms, Coffee & Tea Shops",“Although they offer plenty of savory baked goods we opted for sweet.” more
Yelp,Dublin,Thunders Home Bakery,4.1,(10 reviews),Phibsboro,€€,"“Greatbakeryin the area. The women who were working that day were incredibly nice and welcoming.”more, Bakeries, Coffee & Tea Shops",“Great bakery in the area. The women who were working that day were incredibly nice and welcoming.” more
Yelp,Dublin,Buns,5.0,(1 review),Smithfield,,"“I'm a bit torn-Lolly and Cooks make lovely cupcakes, but overall I think Buns win my award for favourite cupcakes in Ireland! You can order big orders…”more, Bakeries, Markets","“I'm a bit torn-Lolly and Cooks make lovely cupcakes, but overall I think Buns win my award for favourite cupcakes in Ireland! You can order big orders…” more"
Yelp,Dublin,Wall & Keogh,4.3,(77 reviews),Harcourt,€,"“Just around the corner from the amazing Bretzelbakeryin Portabello. They have an amazing selection...”more, Tea Rooms, Cafes",“Just around the corner from the amazing Bretzel bakery in Portabello. They have an amazing selection...” more
Yelp,Dublin,Butlers Pantry,4.0,(6 reviews),Terenure,€€€,"“This little shop is so great. They actually have nicebaked goods. Also stock soft drinks, and...”more, Caterers, Food","“This little shop is so great. They actually have nice baked goods . Also stock soft drinks, and...” more"
Yelp,Dublin,Cafe Nero,3.4,(8 reviews),North Inner City,€,"“Great place and very kind staff. The coffee was tasty and thebakeryseems to be amazing, at least...”more, Coffee & Tea Shops","“Great place and very kind staff. The coffee was tasty and the bakery seems to be amazing, at least...” more"
Yelp,Dublin,Craft Coffee Roasters,4.1,(8 reviews),Thomas Street,€,"“The staff is friendly and welcome. They offer freshbake goodsand sandwiches.”more, Coffee & Tea Shops",“The staff is friendly and welcome. They offer fresh bake goods and sandwiches.” more
Yelp,Dublin,The Natural Bakery,2.7,(3 reviews),Arbour Hill,€€€,"“There was a lot to like about the Natural Bakery -the wonderfulbaked goods, the food choices, and...”more, Coffee & Tea Shops, Bakeries","“There was a lot to like about the Natural Bakery -the wonderful baked goods , the food choices, and...” more"
Yelp,Dublin,Leon Bakery,4.5,(4 reviews),South Inner City,€€€€,"“The nicest tarts and pastries I've had in Dublin! It's hard to choose what to have, but I would recommend trying the cheesecake (which comes in a…”more, Bakeries, Cafes","“The nicest tarts and pastries I've had in Dublin! It's hard to choose what to have, but I would recommend trying the cheesecake (which comes in a…” more"
Yelp,Dublin,Fothergills,4.5,(11 reviews),Rathgar,€€,"“What is great is that they also sell lovely jams andfreshly bakedcroissants, cookies and muffins.”more, Delis, Specialty Food, Bakeries, Delicatessen","“What is great is that they also sell lovely jams and freshly baked croissants, cookies and muffins.” more"
Yelp,Dublin,The Food gallery,4.0,(16 reviews),The Liberties,€€,"“I will-powered my way past the array of cakes and otherbaked goods, but my dining companion...”more, Specialty Food, Coffee & Tea Shops","“I will-powered my way past the array of cakes and other baked goods , but my dining companion...” more"
Yelp,Dublin,The Traditional Craft Bakery,3.4,(10 reviews),North Inner City,€,"“Yes! This is by far the bestbakeryI have found in Dublin and with Bakery, not café prices.”more, Bakeries, Coffee & Tea Shops, Cafes","“Yes! This is by far the best bakery I have found in Dublin and with Bakery, not café prices.” more"
Yelp,Dublin,Carluccio's,3.7,(134 reviews),South Inner City,€€,"“why pay €3.50 for a soggy sandwich nearby when you can have afreshly bakedCasareccio / ham filled...”more, Coffee & Tea Shops, Italian, Juice Bar & Smoothies",“why pay €3.50 for a soggy sandwich nearby when you can have a freshly baked Casareccio / ham filled...” more
Yelp,Dublin,The Natural Bakery,3.2,(5 reviews),IFSC,€,"“Coolbakeryin the IFSC area. During the week is crowded with people from the nearest offices but on...”more, Coffee & Tea Shops, Bakeries",“Cool bakery in the IFSC area. During the week is crowded with people from the nearest offices but on...” more
Yelp,Dublin,Thunders Home Bakery,5.0,(1 review),Stoneybatter,,"“I don't know how you could give this place anything lower than a five star perfect marking! Here's why: - The cakes. Seriously. The cakes. There is a…”more, Coffee & Tea Shops, Delicatessen, Bakeries",“I don't know how you could give this place anything lower than a five star perfect marking! Here's why: - The cakes. Seriously. The cakes. There is a…” more
Yelp,Dublin,Tea Time Express,4.3,(4 reviews),Gardiner Street,€,"“This is a great littlebakeryjust outside the Irish Life Shopping Mall.”more, Bakeries",“This is a great little bakery just outside the Irish Life Shopping Mall.” more
Yelp,Dublin,Thunders Home Bakery,5.0,(1 review),Drumcondra,€€,"“Always the freshest breads and cakes here! They are so so nice! My favourite cake is the jam buns and also their coffee cake... I could eat the…”more, Coffee & Tea Shops, Delicatessen, Bakeries",“Always the freshest breads and cakes here! They are so so nice! My favourite cake is the jam buns and also their coffee cake... I could eat the…” more
Yelp,Dublin,Camerino,4.0,(1 review),Baggot Street,,"“Super cute cafe in the basement of the Goethe institute with plenty of seating. They just opened this new, second location on Merrion Square. They…”more, Coffee & Tea Shops, Bakeries","“Super cute cafe in the basement of the Goethe institute with plenty of seating. They just opened this new, second location on Merrion Square. They…” more"
